state,statename,collectionDate,InpatBeds_Occ_AnyPat_Est,InBedsOccAnyPat__Numbeds_Est,Inpatient_Bed_Capacity,InpatBeds_Occ_COVID_Est,InBedsOccCOVID__Numbeds_Est,ICUBeds_Occ_AnyPat_Est,ICUBedsOccAnyPat__N_ICUBeds_Est,ICUBedsOccAnyPat__N_ICUBeds_LoCI,ICUBedsOccAnyPat__N_ICUBeds_UpCI,ICU_Bed_total_estimate_Capacity
AK,Alaska,01-Apr-20,532,57.6,923.6111111,40,4.3,82,54.7,15.7,93.7,149.9085923
AK,Alaska,02-Apr-20,524,56.7,924.1622575,52,5.6,72,48,19.6,76.4,150
AK,Alaska,03-Apr-20,510,55.2,923.9130435,48,5.2,64,42.7,25.7,59.6,149.882904
AK,Alaska,04-Apr-20,600,49,1224.489796,32,2.6,73,44.7,22,67.5,163.310962
AK,Alaska,05-Apr-20,594,48.5,1224.742268,49,3.9,85,51.8,22.7,80.8,164.0926641
AK,Alaska,06-Apr-20,582,47.5,1225.263158,8,0.7,78,47.6,16.9,78.2,163.8655462
AK,Alaska,07-Apr-20,545,44.5,1224.719101,8,0.7,73,44.5,30.4,58.7,164.0449438
AK,Alaska,08-Apr-20,583,47.6,1224.789916,2,0.2,62,37.8,22.4,53.2,164.021164
AK,Alaska,09-Apr-20,643,52.5,1224.761905,25,2,62,37.8,25.6,50.1,164.021164
AK,Alaska,10-Apr-20,563,53.5,1052.336449,24,2.3,53,37.3,22.3,52.4,142.0911528
AK,Alaska,11-Apr-20,589,56,1051.785714,9,0.9,67,47.2,19.5,74.8,141.9491525
AK,Alaska,12-Apr-20,556,52.9,1051.039698,9,0.8,67,47.2,17.8,76.6,141.9491525
AK,Alaska,13-Apr-20,539,51.2,1052.734375,0,0,77,54.2,29.6,78.9,142.0664207
AK,Alaska,14-Apr-20,597,45.9,1300.653595,2,0.2,77,49.4,26.3,72.4,155.8704453
AK,Alaska,15-Apr-20,673,39.5,1703.797468,15,0.9,91,33.8,6.1,61.6,269.2307692
AK,Alaska,16-Apr-20,664,39,1702.564103,20,1.2,111,41.3,13.9,68.6,268.7651332
AK,Alaska,17-Apr-20,642,37.7,1702.917772,18,1.1,102,37.9,16.3,59.6,269.1292876
AK,Alaska,18-Apr-20,613,36,1702.777778,29,1.7,108,40.1,19.1,61.1,269.3266833
AK,Alaska,19-Apr-20,609,35.7,1705.882353,27,1.6,99,36.7,13.7,59.8,269.7547684
AK,Alaska,20-Apr-20,628,36.9,1701.897019,19,1.1,99,36.8,23.7,49.9,269.0217391
AK,Alaska,21-Apr-20,556,35.1,1584.045584,20,1.3,76,33.8,2.1,65.4,224.852071
AK,Alaska,22-Apr-20,608,38.4,1583.333333,31,2,77,34.2,6.7,61.7,225.1461988
AK,Alaska,23-Apr-20,527,35.7,1476.190476,24,1.6,57,27.1,2.9,51.4,210.3321033
AK,Alaska,24-Apr-20,530,35.9,1476.32312,23,1.5,72,34.3,12.7,55.9,209.9125364
AK,Alaska,25-Apr-20,506,34.3,1475.218659,20,1.4,69,32.8,10.6,55.1,210.3658537
AK,Alaska,26-Apr-20,571,38.7,1475.452196,49,3.3,72,34.1,11.7,56.5,211.143695
AK,Alaska,27-Apr-20,622,42.1,1477.434679,51,3.5,71,33.6,18.3,48.9,211.3095238
AK,Alaska,28-Apr-20,659,44.6,1477.578475,46,3.1,78,36.9,16.5,57.3,211.3821138
AK,Alaska,29-Apr-20,603,40.8,1477.941176,40,2.7,73,34.8,13.1,56.4,209.7701149
AK,Alaska,30-Apr-20,495,33.5,1477.61194,8,0.5,64,30.2,8.3,52.2,211.9205298
AK,Alaska,01-May-20,623,43.4,1435.483871,19,1.3,75,36.3,17,55.6,206.6115702
AK,Alaska,02-May-20,651,45.3,1437.086093,30,2.1,68,32.9,13.9,51.8,206.6869301
AK,Alaska,03-May-20,520,36.2,1436.464088,13,0.9,56,27.2,0,55.9,205.8823529
AK,Alaska,04-May-20,539,37.5,1437.333333,10,0.7,69,33.7,9,58.4,204.7477745
AK,Alaska,05-May-20,570,39.7,1435.768262,7,0.5,70,34.3,0.8,67.7,204.0816327
AK,Alaska,06-May-20,619,43.1,1436.194896,11,0.8,64,30.9,6.9,55,207.1197411
AK,Alaska,07-May-20,615,46.4,1325.431034,13,1,59,31.5,2.7,60.3,187.3015873
AK,Alaska,08-May-20,642,44.7,1436.241611,8,0.6,67,32.5,2.7,62.3,206.1538462
AK,Alaska,09-May-20,709,53.5,1325.233645,16,1.3,123,65.5,45.3,85.7,187.7862595
AK,Alaska,10-May-20,730,54.9,1329.690346,12,0.9,110,58.9,41.2,76.6,186.7572156
AK,Alaska,11-May-20,737,55.6,1325.539568,16,1.2,115,61.2,45.4,77,187.9084967
AK,Alaska,12-May-20,750,56.6,1325.088339,12,0.9,121,64.6,48.4,80.8,187.3065015
AK,Alaska,13-May-20,824,57.5,1433.043478,19,1.3,142,70,50.7,89.3,202.8571429
AK,Alaska,14-May-20,857,59.9,1430.717863,11,0.8,144,71.3,46.7,96,201.9635344
AK,Alaska,15-May-20,756,57.1,1323.992995,8,0.6,117,62.2,45.9,78.5,188.1028939
AK,Alaska,16-May-20,585,56.8,1029.929577,10,1,68,75.7,39,100,89.82826948
AK,Alaska,17-May-20,589,57.2,1029.72028,12,1.1,65,73.1,52.6,93.6,88.91928865
AK,Alaska,18-May-20,568,53.1,1069.679849,7,0.7,65,69.1,42.3,96,94.06657019
AK,Alaska,19-May-20,604,56.4,1070.921986,11,1,67,71.3,41.9,100,93.96914446
AK,Alaska,20-May-20,640,59.8,1070.234114,11,1,70,74.5,43.1,100,93.95973154
AK,Alaska,21-May-20,696,68.2,1020.527859,7,0.7,68,85,81.9,88.1,80
AK,Alaska,22-May-20,667,65.3,1021.43951,15,1.5,70,87.5,79.7,95.3,80
AK,Alaska,23-May-20,654,64.1,1020.280811,12,1.2,73,91.3,81.6,100,79.95618839
AK,Alaska,24-May-20,568,62.1,914.6537842,18,1.9,50,76.9,69.5,84.4,65.01950585
AK,Alaska,25-May-20,509,55.6,915.4676259,14,1.6,47,72.7,58.1,87.3,64.64924347
AK,Alaska,26-May-20,526,57.5,914.7826087,15,1.6,40,61.5,40.5,82.6,65.04065041
AK,Alaska,27-May-20,575,62.8,915.6050955,15,1.6,43,66.2,47,85.3,64.95468278
AK,Alaska,28-May-20,523,51.7,1011.605416,17,1.7,59,62.9,47.1,78.7,93.79968203
AK,Alaska,29-May-20,561,58.2,963.9175258,19,1.9,51,63.9,46.7,81.2,79.81220657
AK,Alaska,30-May-20,578,53.7,1076.350093,25,2.3,54,55.2,29.4,80.9,97.82608696
AK,Alaska,31-May-20,575,53.4,1076.779026,20,1.8,54,55.2,28.4,81.9,97.82608696
AK,Alaska,01-Jun-20,480,44.6,1076.233184,18,1.7,50,51,23.6,78.4,98.03921569
AK,Alaska,02-Jun-20,592,55,1076.363636,18,1.7,64,65.5,41.6,89.3,97.70992366
AK,Alaska,03-Jun-20,249,37.6,662.2340426,11,1.7,22,47.8,32.9,62.7,46.0251046
AK,Alaska,04-Jun-20,615,57.5,1069.565217,10,0.9,64,68.1,43.4,92.7,93.979442
AK,Alaska,05-Jun-20,602,55.7,1080.789946,10,0.9,65,62.5,37.7,87.3,104
AK,Alaska,06-Jun-20,896,60.5,1480.991736,8,0.5,135,62.2,52.1,72.3,217.0418006
AK,Alaska,07-Jun-20,825,60,1375,23,1.6,138,68.1,56.3,79.9,202.6431718
AK,Alaska,08-Jun-20,545,55.8,976.702509,17,1.7,57,62,33.4,90.5,91.93548387
AK,Alaska,09-Jun-20,597,61.3,973.8988581,38,3.9,69,75,59,91,92
AK,Alaska,10-Jun-20,659,61,1080.327869,10,0.9,64,61.5,35.9,87.2,104.0650407
AK,Alaska,11-Jun-20,628,64.3,976.6718507,24,2.5,58,63,35.3,90.8,92.06349206
AK,Alaska,12-Jun-20,607,62.1,977.4557166,15,1.5,63,67.9,52.8,83,92.78350515
AK,Alaska,13-Jun-20,795,57.7,1377.816291,31,2.3,137,68.9,58.8,79,198.838897
AK,Alaska,14-Jun-20,789,57.2,1379.370629,33,2.4,132,64.4,52,76.8,204.9689441
AK,Alaska,15-Jun-20,560,57.3,977.3123909,25,2.6,55,59.8,29.6,89.9,91.97324415
AK,Alaska,16-Jun-20,582,59.5,978.1512605,30,3.1,57,61.4,35.4,87.4,92.83387622
AK,Alaska,17-Jun-20,589,60.3,976.7827529,26,2.6,54,58.7,29.9,87.5,91.99318569
AK,Alaska,18-Jun-20,586,60,976.6666667,24,2.5,57,61.4,32.1,90.7,92.83387622
AK,Alaska,19-Jun-20,652,59.9,1088.480801,33,3,68,61.4,40.6,82.1,110.7491857
AK,Alaska,20-Jun-20,915,61.4,1490.228013,39,2.6,136,61,49,72.9,222.9508197
AK,Alaska,21-Jun-20,844,56.7,1488.536155,34,2.3,134,59.9,50,69.7,223.706177
AK,Alaska,22-Jun-20,606,55.7,1087.971275,22,2,54,49.1,17.5,80.6,109.9796334
AK,Alaska,23-Jun-20,189,26.2,721.3740458,8,1.1,29,41.4,29.3,53.6,70.04830918
AK,Alaska,24-Jun-20,659,53.1,1241.054614,6,0.5,94,69.1,43.8,94.5,136.0347323
AK,Alaska,25-Jun-20,539,52.5,1026.666667,11,1.1,68,63.7,46.3,81,106.7503925
AK,Alaska,26-Jun-20,543,52.9,1026.465028,14,1.3,65,60.8,38.7,83,106.9078947
AK,Alaska,27-Jun-20,788,55.2,1427.536232,13,0.9,136,66.3,55.8,76.9,205.1282051
AK,Alaska,28-Jun-20,761,53.3,1427.767355,15,1,138,67.3,55.7,79,205.0520059
AK,Alaska,29-Jun-20,512,49.9,1026.052104,12,1.1,71,66.5,46.9,86.2,106.7669173
AK,Alaska,30-Jun-20,562,54.8,1025.547445,29,2.8,61,57.1,39.1,75.1,106.8301226
AK,Alaska,01-Jul-20,431,63.7,676.6091052,22,3.3,51,64.7,41.7,87.8,78.82534776
AK,Alaska,02-Jul-20,450,66.5,676.6917293,20,2.9,52,66,40.6,91.5,78.78787879
AK,Alaska,03-Jul-20,420,62.2,675.2411576,19,2.8,55,69.9,47,92.8,78.68383405
AK,Alaska,04-Jul-20,408,60.3,676.6169154,19,2.7,51,65.4,43.5,87.3,77.98165138
AK,Alaska,05-Jul-20,422,62.4,676.2820513,18,2.6,52,67,37.8,96.1,77.6119403
AK,Alaska,06-Jul-20,406,60,676.6666667,21,3.1,47,59.6,31.7,87.6,78.8590604
AK,Alaska,07-Jul-20,428,63.3,676.1453397,22,3.3,47,59.6,39.8,79.5,78.8590604
AL,Alabama,15-Apr-20,8889,55.4,16045.12635,850,5.3,1474,64.4,57.7,71.1,2288.819876
AL,Alabama,16-Apr-20,8973,57.5,15605.21739,780,5,1458,65.9,58.5,73.3,2212.443096
AL,Alabama,17-Apr-20,8925,57,15657.89474,749,4.8,1460,65.9,59.2,72.5,2215.477997
AL,Alabama,18-Apr-20,8766,55.3,15851.7179,733,4.6,1506,65.5,57.8,73.2,2299.236641
AL,Alabama,19-Apr-20,8451,55.8,15145.16129,752,5,1347,63.9,56.4,71.3,2107.981221
AL,Alabama,20-Apr-20,8527,56.3,15145.64831,846,5.6,1435,68.3,58.6,78.1,2101.02489
AL,Alabama,21-Apr-20,9072,60,15120,816,5.4,1374,66.8,61,72.5,2056.886228
AL,Alabama,22-Apr-20,9313,60.9,15292.28243,831,5.4,1420,67.9,61.8,73.9,2091.310751
AL,Alabama,23-Apr-20,9325,61.1,15261.86579,828,5.4,1475,70.6,63.4,77.8,2089.235127
AL,Alabama,24-Apr-20,9339,61.2,15259.80392,809,5.3,1448,69.4,59,79.9,2086.455331
AL,Alabama,25-Apr-20,9149,60.2,15197.67442,832,5.5,1456,70.8,63.1,78.5,2056.497175
AL,Alabama,26-Apr-20,8697,57.7,15072.79029,811,5.4,1348,65.2,55.6,74.9,2067.484663
AL,Alabama,27-Apr-20,8703,58,15005.17241,954,6.4,1478,71.8,63,80.6,2058.495822
AL,Alabama,28-Apr-20,8814,58.7,15015.3322,863,5.8,1450,70.2,61.1,79.4,2065.527066
AL,Alabama,29-Apr-20,9246,60.7,15232.28995,952,6.3,1477,71.1,61.8,80.4,2077.355837
AL,Alabama,30-Apr-20,9190,61.1,15040.91653,1032,6.9,1457,71.2,63.9,78.5,2046.348315
AL,Alabama,01-May-20,9175,60.8,15090.46053,1086,7.2,1457,71.5,63.8,79.2,2037.762238
AL,Alabama,02-May-20,8744,58.3,14998.28473,1076,7.2,1413,69.3,58.6,80.1,2038.961039
AL,Alabama,03-May-20,8897,59.3,15003.37268,1099,7.3,1428,69.3,59.5,79.1,2060.606061
AL,Alabama,04-May-20,9163,60.5,15145.45455,1147,7.6,1471,71.7,61.3,82,2051.603905
AL,Alabama,05-May-20,9845,64,15382.8125,1113,7.2,1477,73,62.9,83.1,2023.287671
AL,Alabama,06-May-20,10071,65.5,15375.57252,1016,6.6,1502,73.2,65,81.4,2051.912568
AL,Alabama,07-May-20,10094,65.8,15340.42553,1019,6.6,1463,71.8,63.3,80.3,2037.604457
AL,Alabama,08-May-20,9963,64.9,15351.30971,938,6.1,1489,72.4,63.7,81,2056.629834
AL,Alabama,09-May-20,8936,58.6,15249.14676,893,5.9,1481,71.9,62.7,81.1,2059.805285
AL,Alabama,10-May-20,9087,59.7,15221.10553,890,5.8,1437,69.8,60.2,79.4,2058.739255
AL,Alabama,11-May-20,9440,61.9,15250.40388,898,5.9,1539,74.4,65.8,83,2068.548387
AL,Alabama,12-May-20,9848,64.5,15268.21705,958,6.3,1537,73.3,65.4,81.2,2096.86221
AL,Alabama,13-May-20,10154,66.4,15292.16867,937,6.1,1557,73.9,67.6,80.2,2106.901218
AL,Alabama,14-May-20,10120,66,15333.33333,943,6.2,1569,75.8,68.6,83.1,2069.920844
AL,Alabama,15-May-20,10027,65.3,15355.28331,959,6.2,1520,73.3,66.7,80,2073.66985
AL,Alabama,16-May-20,9537,62.3,15308.1862,886,5.8,1501,72.4,63.7,81.1,2073.20442
AL,Alabama,17-May-20,9147,60.3,15169.15423,960,6.3,1375,67.1,60,74.3,2049.180328
AL,Alabama,18-May-20,9547,62.7,15226.47528,967,6.3,1425,69.8,61.9,77.7,2041.547278
AL,Alabama,19-May-20,9997,65.3,15309.3415,920,6,1515,73.9,65,82.9,2050.067659
AL,Alabama,20-May-20,10304,67.4,15287.83383,907,5.9,1588,77.3,69.2,85.5,2054.333765
AL,Alabama,21-May-20,10589,69.3,15279.94228,1017,6.7,1572,76.8,69.4,84.2,2046.875
AL,Alabama,22-May-20,10308,67.7,15225.99705,1002,6.6,1485,73.4,66.3,80.5,2023.160763
AL,Alabama,23-May-20,9534,63.5,15014.17323,939,6.3,1407,70.4,63.8,77.1,1998.579545
AL,Alabama,24-May-20,9607,63.2,15200.94937,1000,6.6,1440,71.2,58.1,84.2,2022.47191
AL,Alabama,25-May-20,9542,63.8,14956.11285,1026,6.9,1451,73.1,66,80.2,1984.95212
AL,Alabama,26-May-20,9910,65.4,15152.9052,1057,7,1415,70.4,63.1,77.6,2009.943182
AL,Alabama,27-May-20,10285,69.7,14756.09756,1145,7.8,1422,73.6,62.7,84.5,1932.065217
AL,Alabama,28-May-20,9943,70,14204.28571,1126,7.9,1384,73.2,61,85.3,1890.710383
AL,Alabama,29-May-20,10017,69.5,14412.94964,1043,7.2,1320,74.9,64.9,84.9,1762.3498
AL,Alabama,30-May-20,10167,66.6,15265.76577,987,6.5,1498,73.3,64.5,82.2,2043.656207
AL,Alabama,31-May-20,9849,63.6,15485.84906,1018,6.6,1462,73,65,81,2002.739726
AL,Alabama,01-Jun-20,9843,64.1,15355.69423,1073,7,1454,73.2,63.8,82.6,1986.338798
AL,Alabama,02-Jun-20,10500,67.6,15532.54438,1112,7.2,1518,75.1,67.9,82.4,2021.304927
AL,Alabama,03-Jun-20,10841,70.3,15421.05263,1054,6.8,1654,81.5,76.1,86.8,2029.447853
AL,Alabama,04-Jun-20,11215,72,15576.38889,957,6.1,1552,73.9,63.4,84.4,2100.135318
AL,Alabama,05-Jun-20,11041,69.3,15932.17893,915,5.7,1726,75.6,69.3,81.9,2283.068783
AL,Alabama,06-Jun-20,10544,67.2,15690.47619,955,6.1,1684,74.3,67.8,80.8,2266.487214
AL,Alabama,07-Jun-20,10435,66.8,15621.25749,932,6,1634,72.7,66.4,79,2247.592847
AL,Alabama,08-Jun-20,10217,67.8,15069.32153,996,6.6,1535,75.4,68.8,82.1,2035.809019
AL,Alabama,09-Jun-20,10764,71.4,15075.63025,1033,6.8,1546,76.2,67.9,84.4,2028.871391
AL,Alabama,10-Jun-20,11157,73.7,15138.39891,1047,6.9,1563,78.7,71.5,85.9,1986.022872
AL,Alabama,11-Jun-20,12205,75.5,16165.56291,1068,6.6,1874,78.4,70.2,86.5,2390.306122
AL,Alabama,12-Jun-20,11509,73,15765.75342,1050,6.7,1741,77.6,69.1,86.2,2243.556701
AL,Alabama,13-Jun-20,10643,69,15424.63768,954,6.2,1743,74.8,63.6,86.1,2330.213904
AL,Alabama,14-Jun-20,9980,66.9,14917.78774,977,6.5,1528,75.1,64.8,85.5,2034.620506
AL,Alabama,15-Jun-20,10114,68.1,14851.68869,1117,7.5,1555,76.8,69,84.5,2024.739583
AL,Alabama,16-Jun-20,10709,72.6,14750.68871,1163,7.9,1509,78.1,69,87.2,1932.138284
AL,Alabama,17-Jun-20,9587,72.5,13223.44828,1070,8.1,1465,76.6,68.6,84.7,1912.532637
AL,Alabama,18-Jun-20,10294,71.6,14377.09497,1045,7.3,1416,74.4,64.2,84.5,1903.225806
AL,Alabama,19-Jun-20,10197,71.4,14281.51261,1102,7.7,1437,72,58.9,85.1,1995.833333
AL,Alabama,20-Jun-20,9616,67.5,14245.92593,1070,7.5,1347,70.9,59.4,82.5,1899.858956
AL,Alabama,21-Jun-20,9328,65.7,14197.8691,1122,7.9,1328,69.9,59.3,80.5,1899.856938
AL,Alabama,22-Jun-20,10567,69,15314.49275,1120,7.3,1685,72.9,64.5,81.3,2311.38546
AL,Alabama,23-Jun-20,11182,72.9,15338.8203,1082,7.1,1771,76.7,69.5,83.9,2308.996089
AL,Alabama,24-Jun-20,11338,74.3,15259.75774,1085,7.1,1844,80.4,74.3,86.6,2293.532338
AL,Alabama,25-Jun-20,10606,74.8,14179.14439,1094,7.7,1437,73.9,63.6,84.2,1944.519621
AL,Alabama,26-Jun-20,11006,73.8,14913.27913,1099,7.4,1669,79.1,68.3,90,2109.987358
AL,Alabama,27-Jun-20,10661,72,14806.94444,1062,7.2,1616,76.5,68,85,2112.418301
AL,Alabama,28-Jun-20,10495,70,14992.85714,1102,7.4,1597,76.2,68.4,84,2095.800525
AL,Alabama,29-Jun-20,9770,70.5,13858.15603,1123,8.1,1492,76.2,69.8,82.6,1958.005249
AL,Alabama,30-Jun-20,10462,75.5,13856.95364,1307,9.4,1507,77.7,68.4,87.1,1939.51094
AL,Alabama,01-Jul-20,10854,76,14281.57895,1152,8.1,1589,78,67.2,88.8,2037.179487
AL,Alabama,02-Jul-20,10759,74.4,14461.02151,1120,7.7,1588,79.1,67.5,90.8,2007.585335
AL,Alabama,03-Jul-20,9952,71,14016.90141,1179,8.4,1493,78.1,70.5,85.6,1911.651729
AL,Alabama,04-Jul-20,9208,66,13951.51515,1188,8.5,1428,74.7,65,84.4,1911.646586
AL,Alabama,05-Jul-20,9232,66.1,13966.7171,1329,9.5,1424,74.3,65.9,82.6,1916.554509
AL,Alabama,06-Jul-20,9661,69,14001.44928,1419,10.1,1445,75.3,67.7,83,1918.990704
AL,Alabama,07-Jul-20,10401,73.9,14074.4249,1470,10.4,1588,82.6,73.4,91.7,1922.51816
AR,Arkansas,01-Apr-20,4885,48.9,9989.775051,354,3.5,959,56.7,35.9,77.5,1691.358025
AR,Arkansas,02-Apr-20,5435,48.1,11299.3763,331,2.9,1271,50.1,37,63.3,2536.926148
AR,Arkansas,03-Apr-20,5069,46.6,10877.6824,321,3,1215,49.7,37.8,61.5,2444.668008
AR,Arkansas,04-Apr-20,4807,44.2,10875.56561,345,3.2,1203,49.3,37.9,60.7,2440.162272
AR,Arkansas,05-Apr-20,4765,43.9,10854.21412,382,3.5,1190,48.7,38,59.4,2443.531828
AR,Arkansas,06-Apr-20,4103,44.3,9261.851016,318,3.4,749,48,31.3,64.6,1560.416667
AR,Arkansas,07-Apr-20,4486,46.6,9626.609442,316,3.3,790,47.7,32.4,63,1656.184486
AR,Arkansas,08-Apr-20,4324,46.6,9278.969957,340,3.7,779,51.6,35.1,68.2,1509.689922
AR,Arkansas,09-Apr-20,4502,47.6,9457.983193,336,3.6,780,50,31.9,68,1560
AR,Arkansas,10-Apr-20,4147,44,9425,304,3.2,754,48.9,31.4,66.4,1541.92229
AR,Arkansas,11-Apr-20,4182,43.5,9613.793103,177,1.8,662,42.3,24.9,59.8,1565.01182
AR,Arkansas,12-Apr-20,4142,42.7,9700.234192,174,1.8,687,45.2,27.8,62.6,1519.911504
AR,Arkansas,13-Apr-20,4550,44,10340.90909,158,1.5,615,39.8,26.8,52.9,1545.226131
AR,Arkansas,14-Apr-20,4674,46.4,10073.27586,163,1.6,675,44,31.6,56.4,1534.090909
AR,Arkansas,15-Apr-20,4783,46.9,10198.29424,163,1.6,695,43.8,32.8,54.9,1586.757991
AR,Arkansas,16-Apr-20,4781,46.8,10215.81197,159,1.6,657,41.3,30.8,51.7,1590.799031
AR,Arkansas,17-Apr-20,5085,46.6,10912.01717,184,1.7,824,41,32,50,2009.756098
AR,Arkansas,18-Apr-20,4976,45.6,10912.2807,196,1.8,861,42.5,32.3,52.7,2025.882353
AR,Arkansas,19-Apr-20,4927,45.1,10924.61197,184,1.7,876,44.9,34.3,55.4,1951.002227
AR,Arkansas,20-Apr-20,4774,44.7,10680.08949,159,1.5,904,47.1,37.4,56.8,1919.320594
AR,Arkansas,21-Apr-20,4911,46.5,10561.29032,162,1.5,925,47.8,37.4,58.2,1935.146444
AR,Arkansas,22-Apr-20,4981,47.3,10530.65539,139,1.3,883,46.8,35.2,58.4,1886.752137
AR,Arkansas,23-Apr-20,4970,47.5,10463.15789,267,2.5,871,55.8,48.2,63.4,1560.9319
AR,Arkansas,24-Apr-20,4851,45.9,10568.62745,187,1.8,876,55.3,47.5,63.1,1584.086799
AR,Arkansas,25-Apr-20,4726,45.2,10455.75221,173,1.7,838,53.7,45.8,61.5,1560.521415
AR,Arkansas,26-Apr-20,4710,45.1,10443.45898,139,1.3,842,53.9,44.4,63.4,1562.152134
AR,Arkansas,27-Apr-20,4877,46.4,10510.77586,155,1.5,902,54.7,44.4,65,1648.994516
AR,Arkansas,28-Apr-20,5174,48.7,10624.22998,182,1.7,929,58.6,48.6,68.7,1585.324232
AR,Arkansas,29-Apr-20,5174,48.7,10624.22998,163,1.5,922,58,47,68.9,1589.655172
AR,Arkansas,30-Apr-20,5280,49.9,10581.16232,172,1.6,908,58.1,49.5,66.7,1562.822719
AR,Arkansas,01-May-20,5155,49.2,10477.64228,156,1.5,887,57,48.1,65.9,1556.140351
AR,Arkansas,02-May-20,4995,46.9,10650.31983,150,1.4,912,56.4,48.2,64.5,1617.021277
AR,Arkansas,03-May-20,5049,47,10742.55319,179,1.7,919,53.3,43.2,63.4,1724.202627
AR,Arkansas,04-May-20,5185,48.7,10646.81725,192,1.8,916,54.2,44.1,64.3,1690.0369
AR,Arkansas,05-May-20,5453,50.5,10798.0198,204,1.9,942,55.6,44.9,66.4,1694.244604
AR,Arkansas,06-May-20,5450,50.8,10728.34646,171,1.6,929,55.2,45.8,64.5,1682.971014
AR,Arkansas,07-May-20,5598,52.2,10724.13793,350,3.3,939,55.8,46.3,65.2,1682.795699
AR,Arkansas,08-May-20,5547,51.5,10770.87379,179,1.7,916,54,44.3,63.6,1696.296296
AR,Arkansas,09-May-20,5198,49.3,10543.61055,186,1.8,867,52.9,41.3,64.4,1638.941399
AR,Arkansas,10-May-20,5278,49.5,10662.62626,186,1.7,863,52.7,43.2,62.3,1637.571157
AR,Arkansas,11-May-20,5229,48.7,10737.16632,147,1.4,890,54.2,45.2,63.3,1642.066421
AR,Arkansas,12-May-20,5475,50.9,10756.38507,175,1.6,877,54.4,45.9,62.9,1612.132353
AR,Arkansas,13-May-20,5826,53.7,10849.16201,187,1.7,900,53.8,44.7,62.8,1672.862454
AR,Arkansas,14-May-20,5726,52.9,10824.1966,189,1.7,909,51.6,42.5,60.6,1761.627907
AR,Arkansas,15-May-20,5793,53.7,10787.7095,201,1.9,890,50.7,42.1,59.3,1755.424063
AR,Arkansas,16-May-20,5481,50.9,10768.17289,213,2,879,50.2,42.2,58.2,1750.996016
AR,Arkansas,17-May-20,5382,50,10764,195,1.8,889,50.8,41.5,60.1,1750
AR,Arkansas,18-May-20,5563,51.6,10781.00775,222,2.1,915,54.9,45.3,64.5,1666.666667
AR,Arkansas,19-May-20,5786,53.5,10814.95327,255,2.4,926,55.5,44.6,66.4,1668.468468
AR,Arkansas,20-May-20,5952,55,10821.81818,234,2.2,912,59.9,45.8,74,1522.537563
AR,Arkansas,21-May-20,6260,57.3,10924.95637,204,1.9,968,60.8,48,73.5,1592.105263
AR,Arkansas,22-May-20,6128,55.9,10962.43292,217,2,967,60.7,48,73.4,1593.080725
AR,Arkansas,23-May-20,5787,52.1,11107.4856,204,1.8,945,59.2,46.3,72.1,1596.283784
AR,Arkansas,24-May-20,5583,50.5,11055.44554,213,1.9,913,57.4,44.4,70.4,1590.592334
AR,Arkansas,25-May-20,5485,51.1,10733.85519,213,2,875,57,44.1,70,1535.087719
AR,Arkansas,26-May-20,5604,52.5,10674.28571,266,2.5,882,58.1,46.4,69.9,1518.072289
AR,Arkansas,27-May-20,6106,56.9,10731.10721,216,2,898,59.5,47.7,71.3,1509.243697
AR,Arkansas,28-May-20,5785,55.3,10461.12116,265,2.5,1072,60.7,48.2,73.1,1766.062603
AR,Arkansas,29-May-20,6168,56.6,10897.5265,259,2.4,972,62,49,74.9,1567.741935
AR,Arkansas,30-May-20,5504,52.3,10523.90057,226,2.2,858,60,48.6,71.4,1430
AR,Arkansas,31-May-20,5251,50.7,10357.00197,224,2.2,814,57.1,44.9,69.2,1425.569177
AR,Arkansas,01-Jun-20,5183,52.2,9929.118774,239,2.4,681,59.7,45.4,74,1140.703518
AR,Arkansas,02-Jun-20,5111,53.4,9571.161049,297,3.1,663,66.9,58.1,75.8,991.0313901
AR,Arkansas,03-Jun-20,5726,66.2,8649.546828,268,3.1,774,75.6,63,88.2,1023.809524
AR,Arkansas,04-Jun-20,5515,57,9675.438596,342,3.5,666,59,41.2,76.7,1128.813559
AR,Arkansas,05-Jun-20,5971,57.8,10330.44983,327,3.2,956,66.7,49.8,83.7,1433.283358
AR,Arkansas,06-Jun-20,5621,54.1,10390.01848,374,3.6,961,72.3,62.8,81.9,1329.183956
AR,Arkansas,07-Jun-20,5325,52.3,10181.64436,346,3.4,827,61.2,46.9,75.5,1351.30719
AR,Arkansas,08-Jun-20,5298,54,9811.111111,283,2.9,875,72.4,62.4,82.4,1208.563536
AR,Arkansas,09-Jun-20,5780,57.9,9982.728843,307,3.1,933,76.6,67.9,85.3,1218.015666
AR,Arkansas,10-Jun-20,6847,67.8,10098.82006,249,2.5,1260,82.3,72.7,91.9,1530.984204
AR,Arkansas,11-Jun-20,5530,57.3,9650.95986,358,3.7,732,70.7,60.6,80.8,1035.360679
AR,Arkansas,12-Jun-20,5526,56.4,9797.87234,340,3.5,728,70.7,60.5,81,1029.70297
AR,Arkansas,13-Jun-20,5882,54.2,10852.39852,360,3.3,1157,69.1,56.7,81.5,1674.384949
AR,Arkansas,14-Jun-20,5665,52.2,10852.49042,345,3.2,1148,68,56.9,79.1,1688.235294
