state,stateSymbol,maskDate1,isMaskRequired1,maskDate2,isMaskRequired2,maskDate3,isMaskRequired3,schoolClosure_m1,banGathering_m1,resturantLimit_m1,stayAtHome_m1,nonEssenBussiness_m1,travelQuarantine_m1,barClosure_m1,schoolClosure_e1,banGathering_e1,resturantLimit_e1,stayAtHome_e1,nonEssenBussiness_e1,travelQuarantine_e1,barClosure_e1,schoolClosure_m2,banGathering_m2,resturantLimit_m2,stayAtHome_m2,nonEssenBussiness_m2,travelQuarantine_m2,barClosure_m2,schoolClosure_e2,banGathering_e2,resturantLimit_e2,stayAtHome_e2,nonEssenBussiness_e2,travelQuarantine_e2,barClosure_e2
Mississippi,MS,7/13/2020,1,9/30/2020,0,10/19/2021,1,3/19/2020,3/24/2020,3/24/2020,3/31/2020,,,3/24/2020,,,5/7/2020,4/27/2020,4/27/2020,,5/7/2020,,7/13/2020,9/14/2020,,,,7/24/2020,,,,,,,
Missouri,MO,,0,,,,,3/21/2020,3/21/2020,3/21/2020,4/3/2020,4/3/2020,,3/21/2020,,,5/4/2020,,,5/4/2020,5/4/2020,,,,,,,,,,,,,,
Montana,MT,6/15/2020,1,2/12/2021,0,,,3/15/2020,3/24/2020,3/20/2020,3/26/2020,3/26/2020,3/30/2020,,,5/7/2020,5/4/2020,4/26/2020,4/26/2020,5/19/2020,,,11/7/2020,11/7/2020,,11/7/2020,,11/7/2020,,,,,,,
Nebraska,NE,5/21/2020,0,,,,,3/19/2020,3/19/2020,3/19/2020,,,,3/19/2020,,6/1/2020,5/4/2020,,,,5/4/2020,,10/21/2020,11/11/2020,,11/11/2020,,11/11/2020,,,,,,,
Nevada,NV,6/24/2020,1,,,,,3/15/2020,3/15/2020,3/17/2020,4/1/2020,3/20/2020,,3/17/2020,,5/29/2020,5/9/2020,5/29/2020,5/9/2020,,5/9/2020,,11/5/2020,11/24/2020,,11/24/2020,,11/24/2020,,,,,,,
NewHampshire,NH,8/11/2020,0,11/20/2020,1,,,3/15/2020,3/16/2020,3/16/2020,3/26/2020,,,3/16/2020,,6/1/2020,5/18/2020,6/1/2020,6/1/2020,5/11/2020,5/18/2020,,,,,,11/14/2020,,,,,,,,
NewJersey,NJ,4/8/2020,0,7/8/2020,1,,,3/16/2020,3/16/2020,3/16/2020,3/21/2020,3/21/2020,6/24/2020,3/16/2020,,5/13/2020,5/18/2020,,5/18/2020,,,,8/3/2020,,,,,,,,,,,,
NewMexico,NM,5/5/2020,0,5/15/2020,1,,,3/13/2020,3/16/2020,3/15/2020,3/23/2020,3/23/2020,3/27/2020,,,5/15/2020,6/12/2020,,5/15/2020,9/3/2020,,,10/16/2020,12/2/2020,10/23/2020,11/13/2020,,12/2/2020,,,,,,,
NewYork,NY,4/17/2020,1,,,,,3/16/2020,3/20/2020,3/14/2020,3/20/2020,3/20/2020,6/24/2020,,,5/22/2020,6/6/2020,,5/24/2020,,,,,11/13/2020,,12/11/2020,,11/13/2020,,,,,,,
NorthCarolina,NC,6/26/2020,1,,,,,3/14/2020,3/14/2020,3/14/2020,3/27/2020,3/27/2020,,,,9/1/2020,5/22/2020,5/22/2020,5/8/2020,,,,11/11/2020,7/31/2020,12/11/2020,12/11/2020,,12/11/2020,,,,,,,
NorthDakota,ND,11/13/2020,1,,,,,3/15/2020,,,,4/2/2020,3/28/2020,,,,5/1/2020,,5/1/2020,9/21/2020,,,10/16/2020,11/13/2020,,,,,,,,,,,
Ohio,OH,4/30/2020,0,7/23/2020,1,,,3/12/2020,3/22/2020,3/15/2020,,3/22/2020,3/22/2020,,,5/29/2020,5/15/2020,5/20/2020,5/1/2020,,,,11/17/2020,11/19/2020,11/19/2020,,,7/30/2020,,,,,,,
Oklahoma,OK,7/17/2020,1,,,,,3/16/2020,3/24/2020,,3/24/2020,3/24/2020,3/29/2020,,,5/1/2020,5/1/2020,5/12/2020,4/24/2020,5/12/2020,,,12/14/2020,11/19/2020,,,,11/19/2020,,,,,,,
Oregon,OR,7/1/2020,1,,,,,3/17/2020,,3/16/2020,3/23/2020,,,,,5/15/2020,5/15/2020,6/5/2020,5/15/2020,,,,7/15/2020,7/24/2020,,,,,,,,,,,
Pennsylvania,PA,11/18/2020,1,,,,,3/13/2020,3/24/2020,3/16/2020,3/24/2020,3/19/2020,,,,5/8/2020,5/27/2020,5/8/2020,5/8/2020,,,,7/6/2020,7/6/2020,,11/25/2020,,11/25/2020,,,,,,,
RhodeIsland,RI,5/8/2020,1,,,,,3/18/2020,3/16/2020,3/16/2020,3/13/2020,,3/28/2020,,,,6/1/2020,5/9/2020,5/9/2020,,,,10/30/2020,11/8/2020,,11/8/2020,,8/7/2020,,,,,,,
SouthCarolina,SC,,0,,,,,3/15/2020,3/17/2020,,4/6/2020,3/31/2020,3/27/2020,,,,5/1/2020,5/4/2020,4/20/2020,,,,11/25/2020,11/25/2020,,,,7/11/2020,,,,,,,
SouthDakota,SD,,0,,,,,3/16/2020,3/23/2020,,,,,,,4/28/2020,,,,,,,12/20/2020,,,,,,,,,,,,
Tennessee,TN,7/3/2020,0,,,,,3/20/2020,3/23/2020,3/23/2020,3/31/2020,3/31/2020,,,,5/22/2020,4/29/2020,4/29/2020,4/29/2020,,,,6/26/2020,6/26/2020,,,,6/26/2020,,,,,,,
Texas,TX,6/24/2020,0,7/2/2020,1,,,3/20/2020,,,4/2/2020,3/19/2020,3/30/2020,,,5/1/2020,5/1/2020,,5/8/2020,5/21/2020,,,11/9/2020,11/9/2020,,,,11/9/2020,,,,,,,
Utah,UT,12/17/2020,1,,,,,3/16/2020,3/18/2020,3/18/2020,3/27/2020,,,,,5/1/2020,,5/1/2020,,5/1/2020,,,,,,,,,,,,,,,
Vermont,VT,8/1/2020,1,,,,,3/18/2020,3/24/2020,3/17/2020,3/24/2020,3/24/2020,3/30/2020,,,6/1/2020,5/22/2020,5/15/2020,4/20/2020,6/8/2020,,,11/14/2020,11/14/2020,,,7/1/2020,11/14/2020,,,,,,,
Virginia,VA,12/14/2020,1,,,,,3/16/2020,3/24/2020,3/24/2020,3/30/2020,3/24/2020,,,,6/15/2020,5/15/2020,,5/15/2020,,,,12/14/2020,,12/14/2020,,,11/13/2020,,,,,,,
Washington,WA,6/26/2020,1,,,,,3/17/2020,3/16/2020,3/16/2020,3/23/2020,3/23/2020,,,,5/11/2020,5/11/2020,,5/14/2020,,,,7/31/2020,7/31/2020,,11/16/2020,12/21/2020,7/31/2020,,,,,,,
WestVirginia,WV,11/14/2020,1,,,,,3/13/2020,3/24/2020,3/17/2020,3/24/2020,3/24/2020,,,,5/4/2020,5/4/2020,5/4/2020,5/4/2020,5/4/2020,,,7/14/2020,,,,,,,,,,,,
Wisconsin,WI,8/1/2020,1,,,,,3/18/2020,3/17/2020,3/17/2020,3/25/2020,3/25/2020,,,,5/13/2020,5/13/2020,5/13/2020,4/24/2020,,,,,,,,,,,,,,,,
Wyoming,WY,12/9/2020,1,,,,,3/20/2020,3/21/2020,3/20/2020,,,4/3/2020,,,5/15/2020,5/15/2020,,,,,,12/9/2020,12/9/2020,12/9/2020,12/9/2020,,,,,,,,,
